8000	18.6	0.7	8.3	14.5	9.7
16000	29.2	17.8	20.1	23.8	15.4
24000	32.6	21.8	23.8	27.0	18.7
32000	34.4	24.2	25.9	28.9	21.0
40000	35.4	25.7	27.3	30.2	22.3
48000	36.1	27.0	28.4	30.9	23.2
56000	36.6	28.1	28.9	31.6	23.8
64000	37.2	28.8	29.7	32.3	24.5
72000	37.5	29.2	30.1	32.8	25.0
80000	37.6	29.8	30.5	33.2	25.3
88000	37.7	30.2	30.8	33.3	25.7
96000	38.4	30.6	31.2	33.7	26.0
104000	38.3	30.8	31.6	34.2	26.3
112000	38.7	31.4	31.7	34.3	26.7
120000	38.6	31.6	31.9	34.3	26.6
128000	38.6	31.6	31.9	34.4	26.9
136000	38.9	32.0	32.1	34.6	27.1
144000	39.1	32.2	32.5	34.8	27.3
152000	39.2	32.4	32.6	34.9	27.4
160000	39.1	32.3	32.7	35.0	27.5
168000	39.2	32.7	33.0	35.1	27.8
176000	39.3	33.0	33.2	35.3	27.9
184000	39.6	33.0	33.2	35.6	27.8
192000	39.6	33.3	33.5	35.5	28.1
200000	39.7	33.4	33.6	35.6	28.2
208000	39.6	33.2	33.4	35.4	28.2
216000	39.6	33.3	33.7	35.6	28.3
224000	39.6	33.6	33.8	35.7	28.3
232000	39.7	33.6	33.8	35.7	28.4
240000	39.8	33.9	33.9	35.9	28.6
248000	39.9	33.8	34.1	35.9	28.6
256000	40.0	33.9	34.1	36.1	28.7
264000	40.2	34.1	34.3	36.0	28.8
272000	40.0	34.2	34.3	36.2	28.8
280000	39.8	34.2	34.4	36.1	28.9
288000	40.1	34.3	34.6	36.1	29.0
296000	40.0	34.2	34.5	36.2	29.0
304000	40.0	34.5	34.4	36.2	29.0
312000	40.1	34.5	34.4	36.3	29.1
320000	40.2	34.7	34.8	36.4	29.1
328000	40.1	34.7	34.7	36.4	29.2
336000	40.3	34.8	34.8	36.7	29.3
344000	40.3	34.8	35.0	36.6	29.4
352000	40.3	34.9	35.0	36.5	29.4
360000	40.4	34.9	35.2	36.6	29.4
368000	40.3	35.0	35.1	36.4	29.5
376000	40.5	35.0	35.1	36.8	29.6
384000	40.5	35.1	35.2	36.7	29.6
392000	40.5	35.1	35.2	36.7	29.6
400000	40.7	35.0	35.2	36.8	29.7
408000	40.5	35.2	35.2	36.8	29.8
416000	40.5	35.2	35.3	36.9	29.7
424000	40.4	35.2	35.3	36.9	29.9
432000	40.7	35.4	35.5	36.9	29.9
440000	40.5	35.4	35.5	36.9	30.0
448000	40.7	35.5	35.4	37.0	29.9
456000	40.6	35.5	35.6	37.0	30.0
464000	40.7	35.6	35.5	37.0	29.9
472000	40.5	35.5	35.4	37.0	29.9
480000	40.7	35.6	35.4	37.1	30.1
488000	40.7	35.8	35.7	37.2	30.2
496000		35.6	35.8	37.1	30.1
504000		35.7	35.7	37.2	30.2
512000		35.7	35.8	37.0	30.2
520000		35.8	35.8	37.2	30.2
528000		35.9	35.8	37.3	30.2
536000		35.9	35.9	37.2	30.3
544000		35.8	35.8	37.1	30.3
552000		35.9	35.9	37.3	30.4
560000		36.0	35.9	37.3	30.4
568000		35.8	35.9	37.3	30.5
576000		35.9	36.1	37.3	30.4
584000		36.0	36.0	37.4	30.6
592000		36.0	36.1	37.3	30.5
600000		36.0	36.1	37.4	30.7
608000		36.2	36.0	37.2	30.5
616000		36.2		37.5	30.5
624000				37.4	30.7
632000				37.3	30.6
640000				37.4	30.8
648000				37.4	30.7
656000				37.4	30.7
664000				37.2	30.7
672000				37.6	30.8
680000				37.4	30.7
688000				37.5	30.8
696000				37.6	30.8
704000				37.4	30.9
712000				37.3	30.8
720000				37.5	30.9
728000				37.5	30.8
736000				37.6	31.0
744000				37.6	30.9
752000				37.6	30.9
760000				37.7	
768000				37.5	
776000				37.7	
784000				37.7	
792000				37.8	
800000				37.7	
808000				37.7	
816000				37.8	
824000				37.7	
