Batch	\\acs{ar} Large	\\acs{ar} Base	Large	Base	Small	Micro	Tiny
1	100000		12799	2549	1346	958	244
2			9870	2298	1246	897	246
4		18914	8245	2263	1250	913	273
8		13597	7545	2306	1306	974	316
16		10946	7434	2399	1399	1062	373
32		9643	7511	2503	1497	1163	437
64		9154	7639	2609	1606	1271	506
