tokens	nar	ctc_beam_10	ar_greedy	ar_beam_5
10	1.739	1.9200000000000002	1.840514898300171	2.41648268699646
35	0.491	0.747	2.985883951187134	7.900516986846924
26	0.383	0.5609999999999999	1.698716640472412	3.046114683151245
14	0.242	0.424	0.9380612373352051	1.526968002319336
15	0.32199999999999995	0.387	1.1908233165740967	2.2834155559539795
15	0.27699999999999997	0.335	1.0497019290924072	2.2573633193969727
32	0.41000000000000003	0.703	2.3988986015319824	5.6410675048828125
31	0.435	0.748	2.30283522605896	4.721719980239868
28	0.462	0.798	2.127636671066284	4.827005386352539
23	0.371	0.632	2.038656711578369	4.252188682556152
23	0.35200000000000004	0.5409999999999999	1.5407803058624268	3.1606242656707764
10	0.272	0.41300000000000003	1.0673062801361084	2.0051870346069336
10	0.259	0.322	0.828014612197876	1.4847686290740967
14	0.313	0.41900000000000004	0.9874522686004639	2.0934767723083496
11	0.254	0.37	0.8795630931854248	1.7258176803588867
20	0.299	0.46799999999999997	1.390627145767212	2.847423553466797
30	0.367	0.6619999999999999	1.7468211650848389	4.043744087219238
24	0.369	0.5429999999999999	1.6958692073822021	3.55621337890625
30	0.33299999999999996	0.627	1.833768367767334	4.249247074127197
18	0.478	0.484	1.2672219276428223	2.4526288509368896
12	0.311	0.367	0.9454598426818848	1.78267240524292
12	0.437	0.601	1.5856709480285645	3.4479715824127197
24	0.44199999999999995	0.7010000000000001	2.229926347732544	5.3223302364349365
11	0.357	0.482	1.3529911041259766	3.9287431240081787
28	0.464	0.722	2.1500437259674072	5.696281671524048
40	0.471	0.8999999999999999	3.3231964111328125	8.659245729446411
17	0.263	0.371	1.0834519863128662	2.233412265777588
33	0.45799999999999996	0.683	2.1214540004730225	4.455477952957153
43	0.468	0.799	3.035867691040039	7.419255018234253
33	0.414	0.609	2.040212392807007	4.6175665855407715
46	0.533	0.8839999999999999	3.136716365814209	8.15798544883728
43	0.501	0.8340000000000001	3.0438811779022217	8.286337614059448
44	0.515	0.8939999999999999	3.0655298233032227	7.816623687744141
42	0.63	1.141	3.6361217498779297	12.8520827293396
20	0.326	0.5700000000000001	1.3182289600372314	2.4973676204681396
54	0.5489999999999999	1.1019999999999999	4.587146520614624	26.889230251312256
17	0.321	0.392	1.0929126739501953	1.930093765258789
48	0.5329999999999999	0.96	3.534817934036255	9.209590673446655
38	0.481	0.902	3.2598326206207275	8.315674781799316
12	0.265	0.316	0.748298168182373	1.4262006282806396
6	0.298	0.31	0.599372386932373	1.0194308757781982
19	0.345	0.488	1.3180944919586182	2.7487823963165283
34	0.401	0.636	2.5021166801452637	5.335773468017578
16	0.324	0.492	1.1168756484985352	2.1039106845855713
8	0.253	0.347	0.747023344039917	1.2455472946166992
37	0.361	0.5940000000000001	2.2640867233276367	5.489828824996948
24	0.34	0.536	1.7441291809082031	4.077054262161255
11	0.359	0.459	1.2253718376159668	2.4494054317474365
29	0.386	0.725	2.313480854034424	5.423445224761963
48	0.544	1.0430000000000001	4.003529787063599	11.916373252868652
24	0.338	0.556	1.9090871810913086	4.221641302108765
29	0.37	0.643	2.343346118927002	5.090320348739624
18	0.312	0.46099999999999997	1.2996745109558105	3.2105963230133057
29	0.378	0.7390000000000001	2.208488702774048	5.630468368530273
57	0.544	1.234	4.6214799880981445	13.797228336334229
29	0.364	0.6839999999999999	2.2380309104919434	5.154752492904663
26	0.34	0.637	2.051997661590576	4.218322992324829
26	0.33999999999999997	0.5840000000000001	2.1193149089813232	4.710420370101929
31	0.482	0.752	2.5856354236602783	6.520747184753418
21	0.357	0.573	2.1948695182800293	4.6707422733306885
20	0.33099999999999996	0.5660000000000001	2.0066630840301514	4.479698181152344
25	0.40199999999999997	0.622	2.2289884090423584	4.895357847213745
33	0.40599999999999997	0.6799999999999999	2.3257696628570557	5.26665472984314
26	0.355	0.56	1.7886946201324463	3.8565306663513184
20	0.349	0.562	1.8770427703857422	4.049818754196167
27	0.318	0.505	1.489576816558838	3.0553524494171143
36	0.442	0.746	2.2498953342437744	5.3740551471710205
40	0.51	0.8560000000000001	3.2482244968414307	8.475762128829956
18	0.276	0.478	1.155484914779663	2.399641513824463
11	0.262	0.33	0.998457670211792	1.6804771423339844
32	0.398	0.6859999999999999	2.537224769592285	6.016667604446411
22	0.363	0.524	1.5575294494628906	2.982518196105957
23	0.378	0.6499999999999999	1.9021055698394775	4.5195958614349365
41	0.44000000000000006	0.8680000000000001	2.8623046875	7.717353343963623
29	0.378	0.6479999999999999	1.8405559062957764	4.19869327545166
38	0.541	1.056	4.043473243713379	11.78891897201538
37	0.374	0.662	2.608612298965454	5.953797340393066
21	0.299	0.46599999999999997	1.3556663990020752	3.0269811153411865
29	0.336	0.6220000000000001	2.0265796184539795	4.977771043777466
4	0.23199999999999998	0.272	0.6713569164276123	1.066046953201294
49	0.5569999999999999	1.0110000000000001	4.419007778167725	13.75537395477295
22	0.317	0.609	1.595400094985962	3.2853708267211914
38	0.527	0.919	3.2702977657318115	9.340022087097168
26	0.418	0.766	2.502106189727783	5.784213304519653
27	0.406	0.63	1.8230068683624268	4.033987045288086
33	0.423	0.717	2.8411478996276855	6.978595733642578
43	0.436	0.7909999999999999	2.8168039321899414	6.748551368713379
25	0.34099999999999997	0.552	1.7719976902008057	3.5718750953674316
23	0.363	0.621	1.6194968223571777	3.8366191387176514
19	0.272	0.475	1.3860342502593994	2.4727447032928467
22	0.306	0.527	1.5202579498291016	3.0924038887023926
